timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
216829.383,41.504,23.926,19.043,24.414,33.691,0
216829.387,40.039,32.227,23.926,29.297,28.809,0
216829.391,36.133,28.320,17.578,35.156,44.922,0
216829.395,33.691,20.996,10.254,30.273,35.156,0
216829.399,35.156,25.391,28.809,24.414,28.320,0
216829.402,34.180,33.203,40.039,20.996,22.461,0
216829.406,32.227,31.250,36.133,38.574,27.344,0
216829.410,49.805,29.785,40.527,61.035,45.410,0
216829.414,39.062,33.691,46.875,29.785,20.996,0
216829.418,6.348,36.133,44.434,-1.465,13.672,0
216829.422,18.066,35.645,41.992,16.113,44.922,0
216829.426,25.391,33.691,38.086,22.461,49.316,0
216829.430,18.555,27.344,29.785,18.066,68.848,0
216829.434,26.855,21.973,30.762,28.809,63.965,0
216829.438,27.832,24.902,17.090,31.738,53.223,0
216829.442,26.855,26.855,17.090,26.855,48.340,0
216829.445,32.227,22.461,38.574,30.273,45.898,0
216829.449,21.484,15.137,31.250,35.645,52.246,0
216829.453,27.344,18.555,30.762,41.992,46.387,0
216829.457,51.758,41.992,46.875,53.223,57.617,0
216829.461,46.387,55.664,53.223,57.617,51.270,0
216829.465,25.879,42.480,49.316,40.527,13.672,0
216829.469,21.973,22.949,33.203,24.902,42.480,0
216829.473,28.320,16.602,20.508,30.762,56.641,0
216829.477,31.738,26.855,25.879,28.809,42.969,0
216829.481,35.156,27.832,30.273,23.926,78.125,0
216829.485,44.434,22.461,27.344,32.227,41.992,0
216829.488,54.199,28.320,33.691,47.363,8.301,0
216829.492,49.316,29.297,37.598,43.945,13.184,0
216829.496,40.039,26.855,34.180,32.227,42.969,0
216829.500,30.762,23.926,34.668,33.203,68.848,0
216829.504,26.367,18.066,32.715,24.902,59.082,0
216829.508,24.414,17.578,24.414,20.020,34.668,0
216829.512,40.527,26.367,27.832,43.457,70.312,0
216829.516,46.387,23.926,40.039,43.457,121.582,0
216829.520,38.574,26.367,37.598,30.273,103.516,0
